date,epoch_time,blink_speed,blink_strength,eye_move_up,eye_move_down,eye_move_left,eye_move_right,acc_x,acc_y,acc_z,roll,pitch,yaw,is_walking,fit_error,power_left,event,segment,app_state
2016-06-13_11-04-22,1465808662.36178,0,0,0,0,0,0,0,1,-15,-2.590000,2.300000,74.279999,0,0,3,0,0,0
2016-06-13_11-04-22,1465808662.39906,0,0,0,0,0,0,0,1,-15,-2.590000,2.330000,74.239998,0,0,3,0,0,0
2016-06-13_11-04-22,1465808662.43678,0,0,0,0,0,0,0,1,-15,-2.570000,2.280000,74.160004,0,0,3,0,0,0
2016-06-13_11-04-22,1465808662.51157,0,0,0,0,0,0,0,1,-15,-2.580000,2.230000,74.080002,0,0,3,0,0,0
2016-06-13_11-04-22,1465808662.54933,0,0,0,0,0,0,0,1,-15,-2.630000,2.240000,74.029999,0,0,3,0,0,0
2016-06-13_11-04-22,1465808662.58648,0,0,0,0,0,0,0,1,-16,-2.660000,2.320000,74.000000,0,0,3,0,0,0
2016-06-13_11-04-22,1465808662.66179,0,0,0,0,0,0,0,1,-15,-2.680000,2.380000,73.940002,0,0,3,0,0,0
2016-06-13_11-04-22,1465808662.69905,0,0,0,0,0,0,0,1,-15,-2.690000,2.350000,73.889999,0,0,3,0,0,0
2016-06-13_11-04-22,1465808662.77441,0,0,0,0,1,0,0,1,-16,-2.680000,2.310000,73.830002,0,0,3,0,0,0
2016-06-13_11-04-22,1465808662.81158,0,0,0,0,0,0,0,1,-16,-2.680000,2.290000,73.790001,0,0,3,0,0,0
2016-06-13_11-04-22,1465808662.84927,0,0,0,0,0,0,0,1,-15,-2.630000,2.290000,73.720001,0,0,3,0,0,0
2016-06-13_11-04-22,1465808662.88657,0,0,0,0,0,0,0,1,-15,-2.620000,2.290000,73.629997,0,0,3,0,0,0
2016-06-13_11-04-22,1465808662.96180,0,0,0,0,0,0,0,1,-15,-2.640000,2.290000,73.529999,0,0,3,0,0,0
2016-06-13_11-04-22,1465808662.99907,0,0,0,0,0,0,0,1,-15,-2.620000,2.260000,73.459999,0,0,3,0,0,0
2016-06-13_11-04-23,1465808663.03680,0,0,0,0,0,0,0,1,-16,-2.620000,2.190000,73.410004,0,0,3,0,0,0
2016-06-13_11-04-23,1465808663.14862,0,0,0,0,0,0,0,1,-16,-2.630000,2.180000,73.370003,0,0,3,0,0,0
2016-06-13_11-04-23,1465808663.15070,0,0,0,0,0,0,0,0,-15,-2.630000,2.180000,73.330002,0,0,3,0,0,0
2016-06-13_11-04-23,1465808663.18685,0,0,0,0,0,0,0,1,-15,-2.610000,2.150000,73.250000,0,0,3,0,0,0
2016-06-13_11-04-23,1465808663.26199,0,0,0,0,0,0,0,1,-15,-2.630000,2.140000,73.160004,0,0,3,0,0,0
2016-06-13_11-04-23,1465808663.29909,0,0,0,0,0,0,0,1,-15,-2.670000,2.200000,73.129997,0,0,3,0,0,0
2016-06-13_11-04-23,1465808663.33679,0,0,0,0,0,0,0,1,-15,-2.750000,2.290000,73.110001,0,0,3,0,0,0
2016-06-13_11-04-23,1465808663.41159,0,0,0,0,0,0,0,1,-16,-2.790000,2.320000,73.050003,0,0,3,0,0,0
2016-06-13_11-04-23,1465808663.44929,0,0,0,0,0,0,0,1,-16,-2.790000,2.310000,72.949997,0,0,3,0,0,0
2016-06-13_11-04-23,1465808663.48657,0,0,0,0,0,0,0,1,-15,-2.840000,2.380000,72.849998,0,0,3,0,0,0
2016-06-13_11-04-23,1465808663.56170,0,0,0,0,0,0,0,1,-15,-2.870000,2.460000,72.720001,0,0,3,0,0,0
2016-06-13_11-04-23,1465808663.59916,0,0,0,0,0,0,0,1,-15,-2.930000,2.550000,72.610001,0,0,3,0,0,0
2016-06-13_11-04-23,1465808663.63681,0,0,0,0,0,0,0,1,-16,-3.010000,2.450000,72.480003,0,0,3,0,0,0
2016-06-13_11-04-23,1465808663.71160,0,0,0,0,0,0,0,1,-16,-3.050000,2.360000,72.389999,0,0,3,0,0,0
2016-06-13_11-04-23,1465808663.74930,0,0,0,0,0,0,0,1,-16,-3.040000,2.340000,72.349998,0,0,3,0,0,0
2016-06-13_11-04-23,1465808663.78657,0,0,0,0,0,0,0,1,-15,-2.960000,2.360000,72.290001,0,0,3,0,0,0
2016-06-13_11-04-23,1465808663.86179,0,0,0,0,0,0,0,1,-15,-2.900000,2.420000,72.190002,0,0,3,0,0,0
2016-06-13_11-04-23,1465808663.89916,0,0,0,0,0,0,0,1,-15,-2.850000,2.500000,72.070000,0,0,3,0,0,0
2016-06-13_11-04-23,1465808663.93686,0,0,0,0,0,0,0,1,-15,-2.790000,2.550000,71.940002,0,0,3,0,0,0
2016-06-13_11-04-24,1465808664.01160,0,0,0,0,0,0,0,1,-15,-2.730000,2.370000,71.779999,0,0,3,0,0,0
2016-06-13_11-04-24,1465808664.04932,0,0,0,0,0,0,0,1,-15,-2.770000,2.070000,71.610001,0,0,3,0,0,0
2016-06-13_11-04-24,1465808664.08660,0,0,0,0,0,0,0,1,-16,-2.830000,1.920000,71.470001,0,0,3,0,0,0
2016-06-13_11-04-24,1465808664.16181,0,0,0,0,0,0,0,1,-15,-2.840000,2.010000,71.370003,0,0,3,0,0,0
2016-06-13_11-04-24,1465808664.19910,0,0,0,0,0,0,0,1,-16,-2.850000,2.110000,71.309998,0,0,3,0,0,0
2016-06-13_11-04-24,1465808664.23680,0,0,0,0,0,1,0,1,-15,-2.850000,2.230000,71.250000,0,0,3,0,0,0
2016-06-13_11-04-24,1465808664.31161,0,0,0,0,0,0,0,1,-15,-2.880000,2.210000,71.209999,0,0,3,0,0,0
2016-06-13_11-04-24,1465808664.34930,0,0,0,0,0,0,0,1,-16,-2.960000,2.100000,71.160004,0,0,3,0,0,0
2016-06-13_11-04-24,1465808664.38661,0,0,0,0,0,0,0,1,-15,-2.990000,1.940000,71.029999,0,0,3,0,0,0
2016-06-13_11-04-24,1465808664.46183,0,0,0,0,0,0,0,0,-16,-2.970000,1.760000,70.830002,0,0,3,0,0,0
2016-06-13_11-04-24,1465808664.49917,0,0,0,0,0,0,0,0,-15,-2.940000,1.700000,70.620003,0,0,3,0,0,0
2016-06-13_11-04-24,1465808664.53689,0,0,0,0,0,0,0,0,-15,-2.890000,1.770000,70.480003,0,0,3,0,0,0
2016-06-13_11-04-24,1465808664.61161,0,0,0,0,0,0,0,1,-15,-2.880000,1.920000,70.400002,0,0,3,0,0,0
2016-06-13_11-04-24,1465808664.64931,0,0,0,0,0,0,0,1,-15,-2.900000,2.020000,70.330002,0,0,3,0,0,0
2016-06-13_11-04-24,1465808664.68671,0,0,0,0,0,0,0,1,-15,-2.900000,2.030000,70.239998,0,0,3,0,0,0
2016-06-13_11-04-24,1465808664.76184,0,0,0,0,0,1,0,1,-15,-2.890000,2.010000,70.169998,0,0,3,0,0,0
2016-06-13_11-04-24,1465808664.79911,0,0,0,0,0,0,0,1,-16,-2.900000,1.990000,70.120003,0,0,3,0,0,0
