date,epoch_time,blink_speed,blink_strength,eye_move_up,eye_move_down,eye_move_left,eye_move_right,acc_x,acc_y,acc_z,roll,pitch,yaw,is_walking,fit_error,power_left,event,segment,app_state
2016-06-14_13-24-43,1465903483.43041,0,0,0,0,0,0,-1,4,-15,-7.480000,15.090000,164.970001,0,0,5,0,0,0
2016-06-14_13-24-43,1465903483.46762,0,0,0,0,0,0,-1,4,-15,-7.770000,15.010000,164.960007,0,0,5,0,0,0
2016-06-14_13-24-43,1465903483.50511,0,0,0,0,0,0,-1,4,-15,-7.930000,15.050000,165.100006,0,0,5,0,0,0
2016-06-14_13-24-43,1465903483.58019,0,0,0,0,0,0,-1,4,-15,-8.070000,15.150000,165.199997,0,0,5,0,0,0
2016-06-14_13-24-43,1465903483.61775,0,0,0,0,0,0,-1,4,-15,-8.140000,15.330000,165.210007,0,0,5,0,0,0
2016-06-14_13-24-43,1465903483.65504,0,0,0,0,0,0,-1,4,-15,-8.140000,15.470000,165.210007,0,0,5,0,0,0
2016-06-14_13-24-43,1465903483.73013,0,0,0,0,0,0,-1,4,-15,-8.030000,15.590000,165.210007,0,0,5,0,0,0
2016-06-14_13-24-43,1465903483.76765,0,0,0,0,0,0,-1,4,-15,-7.940000,15.660000,165.089996,0,0,5,0,0,0
2016-06-14_13-24-43,1465903483.80505,0,0,0,0,0,0,-1,4,-15,-7.900000,15.670000,164.889999,0,0,5,0,0,0
2016-06-14_13-24-43,1465903483.88009,0,0,0,0,0,0,-1,4,-15,-7.860000,15.660000,164.660004,0,0,5,0,0,0
2016-06-14_13-24-43,1465903483.91755,0,0,0,0,0,0,-1,4,-15,-7.840000,15.620000,164.429993,0,0,5,0,0,0
2016-06-14_13-24-43,1465903483.95519,0,0,0,0,0,0,-1,4,-15,-7.820000,15.520000,164.160004,0,0,5,0,0,0
2016-06-14_13-24-44,1465903484.03017,0,0,0,0,0,0,-1,4,-15,-7.740000,15.440000,163.839996,0,0,5,0,0,0
2016-06-14_13-24-44,1465903484.10454,0,0,0,0,0,0,-1,4,-15,-7.680000,15.360000,163.520004,0,0,5,0,0,0
2016-06-14_13-24-44,1465903484.10664,0,0,0,0,0,0,-1,4,-15,-7.610000,15.190000,163.240005,0,0,5,0,0,0
2016-06-14_13-24-44,1465903484.21698,0,0,0,0,0,0,-1,4,-15,-7.580000,14.980000,162.880005,0,0,5,0,0,0
2016-06-14_13-24-44,1465903484.21919,0,0,0,0,0,0,-1,4,-15,-7.660000,14.730000,162.339996,0,0,5,0,0,0
2016-06-14_13-24-44,1465903484.25513,0,0,0,0,0,0,-1,4,-15,-7.760000,14.570000,161.779999,0,0,5,0,0,0
2016-06-14_13-24-44,1465903484.33011,0,0,0,0,0,0,-1,4,-15,-7.790000,14.540000,161.410004,0,0,5,0,0,0
2016-06-14_13-24-44,1465903484.36757,0,0,0,0,1,0,-1,4,-15,-7.720000,14.540000,161.229996,0,0,5,0,0,0
2016-06-14_13-24-44,1465903484.40507,0,0,0,0,0,0,-1,4,-15,-7.710000,14.540000,161.039993,0,0,5,0,0,0
2016-06-14_13-24-44,1465903484.48016,0,0,0,0,0,0,-1,4,-15,-7.720000,14.580000,160.839996,0,0,5,0,0,0
2016-06-14_13-24-44,1465903484.51758,0,0,0,0,0,0,-1,4,-15,-7.720000,14.690000,160.660004,0,0,5,0,0,0
2016-06-14_13-24-44,1465903484.59258,0,0,0,0,0,0,-1,4,-15,-7.670000,14.820000,160.509995,0,0,5,0,0,0
2016-06-14_13-24-44,1465903484.63014,0,0,0,1,0,0,-1,4,-15,-7.650000,14.910000,160.369995,0,0,5,0,0,0
2016-06-14_13-24-44,1465903484.66757,0,0,0,0,0,0,-1,4,-15,-7.690000,14.940000,160.289993,0,0,5,0,0,0
2016-06-14_13-24-44,1465903484.70506,0,0,0,0,0,0,-1,4,-14,-7.710000,15.030000,160.270004,0,0,5,0,0,0
2016-06-14_13-24-44,1465903484.78016,0,0,0,0,0,0,-1,4,-15,-7.780000,15.030000,160.330002,0,0,5,0,0,0
2016-06-14_13-24-44,1465903484.81760,0,0,0,0,0,0,-1,4,-15,-7.740000,15.050000,160.360001,0,0,5,0,0,0
2016-06-14_13-24-44,1465903484.85526,0,0,0,0,0,0,-1,4,-15,-7.700000,15.040000,160.330002,0,0,5,0,0,0
2016-06-14_13-24-44,1465903484.93006,0,0,0,0,0,0,-1,4,-15,-7.670000,15.080000,160.240005,0,0,5,0,0,0
2016-06-14_13-24-44,1465903484.96756,0,0,0,0,0,0,-1,4,-15,-7.690000,15.240000,160.199997,0,0,5,0,0,0
2016-06-14_13-24-45,1465903485.00507,0,0,0,0,0,0,-1,4,-15,-7.750000,15.480000,160.179993,0,0,5,0,0,0
