date,epoch_time,blink_speed,blink_strength,eye_move_up,eye_move_down,eye_move_left,eye_move_right,acc_x,acc_y,acc_z,roll,pitch,yaw,is_walking,fit_error,power_left,event,segment,app_state
2016-06-10_14-38-04,1465562284.14121,0,0,0,0,0,0,-2,6,-14,-18.760000,79.559998,296.130005,0,0,5,0,0,0
2016-06-10_14-38-04,1465562284.15921,0,0,0,0,0,0,-2,6,-14,-18.750000,79.160004,295.970001,0,0,5,0,0,0
2016-06-10_14-38-04,1465562284.23440,0,0,0,0,0,0,-2,6,-14,-18.780001,78.720001,295.790009,0,0,5,0,0,0
2016-06-10_14-38-04,1465562284.27160,0,0,0,0,0,0,-2,6,-14,-18.809999,78.239998,295.630005,0,0,5,0,0,0
2016-06-10_14-38-04,1465562284.34678,0,0,0,0,0,0,-2,6,-14,-18.770000,77.720001,295.500000,0,0,5,0,0,0
2016-06-10_14-38-04,1465562284.38427,0,0,0,0,0,0,-2,5,-14,-18.730000,77.209999,295.329987,0,0,5,0,0,0
2016-06-10_14-38-04,1465562284.42155,0,0,0,0,0,0,-2,6,-14,-18.740000,76.669998,295.119995,0,0,5,0,0,0
2016-06-10_14-38-04,1465562284.45905,0,0,0,1,0,0,-2,6,-14,-18.750000,76.190002,294.920013,0,0,5,0,0,0
2016-06-10_14-38-04,1465562284.53408,0,0,0,0,0,0,-2,6,-14,-18.719999,75.730003,294.739990,0,0,5,0,0,0
2016-06-10_14-38-04,1465562284.57156,0,0,0,0,0,0,-2,5,-14,-18.670000,75.230003,294.570007,0,0,5,0,0,0
2016-06-10_14-38-04,1465562284.60913,0,0,0,0,0,0,-2,2,-12,-19.059999,74.400002,294.119995,0,0,5,0,0,0
2016-06-10_14-38-04,1465562284.68409,0,0,0,0,0,0,-1,5,-12,-22.209999,69.629997,292.760010,0,0,5,0,0,0
2016-06-10_14-38-04,1465562284.72163,0,0,0,0,0,0,1,6,-18,-27.680000,58.009998,290.130005,0,0,5,0,0,0
2016-06-10_14-38-04,1465562284.75918,0,0,0,0,0,0,2,3,-19,-30.040001,44.919998,285.950012,0,0,5,0,0,0
2016-06-10_14-38-04,1465562284.83406,0,0,0,0,0,0,3,-7,-12,-29.270000,42.639999,284.070007,0,0,5,0,0,0
2016-06-10_14-38-04,1465562284.90863,0,0,0,0,0,0,1,-8,-10,-30.719999,49.410000,284.570007,0,0,5,0,0,0
2016-06-10_14-38-04,1465562284.94666,0,0,0,0,0,0,5,-3,-10,-40.099998,53.910000,282.450012,0,0,5,0,0,0
2016-06-10_14-38-04,1465562284.98425,0,0,0,0,0,0,10,10,-15,-55.950001,45.650002,272.480011,0,0,5,0,0,0
2016-06-10_14-38-05,1465562285.02179,0,0,0,0,0,0,9,15,-17,-69.239998,28.139999,255.470001,1,0,5,0,0,0
2016-06-10_14-38-05,1465562285.05901,0,0,0,0,0,0,9,15,-20,-72.029999,23.299999,252.279999,0,0,5,0,0,0
2016-06-10_14-38-05,1465562285.13408,0,0,0,0,0,0,13,3,-23,-61.230000,36.119999,267.019989,0,0,5,0,0,0
2016-06-10_14-38-05,1465562285.17156,0,0,0,0,0,0,13,1,-16,-41.369999,37.889999,267.750000,0,0,5,0,0,0
2016-06-10_14-38-05,1465562285.20907,0,0,0,0,0,0,-6,-24,6,-26.389999,38.959999,261.739990,0,0,5,0,0,0
2016-06-10_14-38-05,1465562285.28401,0,0,0,0,0,0,-5,-4,-4,-30.620001,35.860001,251.899994,0,0,5,0,0,0
2016-06-10_14-38-05,1465562285.35857,0,0,0,0,0,0,4,11,-6,-45.540001,32.680000,244.940002,0,0,5,0,0,0
2016-06-10_14-38-05,1465562285.36091,0,0,0,0,0,0,7,11,-32,-57.270000,26.709999,246.250000,1,0,5,0,0,0
2016-06-10_14-38-05,1465562285.43408,0,0,0,0,0,0,9,10,-21,-53.380001,15.170000,244.089996,0,0,5,0,0,0
2016-06-10_14-38-05,1465562285.47158,0,0,0,0,0,0,3,0,-12,-40.330002,8.130000,246.080002,0,0,5,0,0,0
2016-06-10_14-38-05,1465562285.50915,0,0,0,0,0,0,0,-7,-6,-26.910000,1.480000,249.850006,0,0,5,0,0,0
2016-06-10_14-38-05,1465562285.58427,0,0,0,0,0,0,-1,-13,-8,-19.139999,-4.690000,253.600006,0,0,5,0,0,0
2016-06-10_14-38-05,1465562285.62177,0,0,0,0,0,0,0,-18,-11,-16.070000,-9.470000,255.630005,0,0,5,0,0,0
2016-06-10_14-38-05,1465562285.65902,0,0,0,0,0,0,3,-18,-12,-14.190000,-11.550000,252.949997,1,0,5,0,0,0
2016-06-10_14-38-05,1465562285.73427,0,0,0,0,0,0,0,-12,-13,-12.040000,-8.910000,246.009995,0,0,5,0,0,0
2016-06-10_14-38-05,1465562285.77157,0,0,0,0,0,0,-3,-8,-9,-11.740000,0.250000,238.309998,0,0,5,0,0,0
2016-06-10_14-38-05,1465562285.80906,0,0,0,0,0,0,-7,-4,-3,-16.070000,13.510000,231.490005,0,0,5,0,0,0
2016-06-10_14-38-05,1465562285.88409,0,0,0,0,0,0,-6,2,-9,-24.620001,24.410000,226.910004,0,0,5,0,0,0
2016-06-10_14-38-05,1465562285.92219,0,0,0,0,0,0,-3,6,-11,-34.389999,30.139999,223.919998,1,0,5,0,0,0
2016-06-10_14-38-05,1465562285.95988,0,0,0,0,0,0,0,9,-15,-43.360001,31.340000,221.100006,0,0,5,0,0,0
2016-06-10_14-38-06,1465562286.03469,0,0,0,0,0,0,0,9,-13,-49.599998,27.190001,216.080002,0,0,5,0,0,0
2016-06-10_14-38-06,1465562286.07219,0,0,0,0,0,0,0,9,-13,-54.619999,18.080000,209.889999,0,0,5,0,0,0
2016-06-10_14-38-06,1465562286.10908,0,0,0,0,0,0,3,7,-14,-58.990002,7.970000,204.360001,0,0,5,0,0,0
2016-06-10_14-38-06,1465562286.18416,0,0,0,0,0,0,4,6,-14,-61.770000,-1.550000,200.389999,0,0,5,0,0,0
2016-06-10_14-38-06,1465562286.22162,0,0,0,0,0,0,4,3,-13,-64.519997,-9.450000,198.149994,0,0,5,0,0,0
2016-06-10_14-38-06,1465562286.29679,0,0,0,0,0,0,7,4,-14,-68.510002,-16.889999,195.740005,0,0,5,0,0,0
