date,epoch_time,blink_speed,blink_strength,eye_move_up,eye_move_down,eye_move_left,eye_move_right,acc_x,acc_y,acc_z,roll,pitch,yaw,is_walking,fit_error,power_left,event,segment,app_state
2016-06-10_10-32-17,1465547537.04743,0,0,0,0,0,1,0,1,-15,-1.160000,5.850000,209.220001,0,0,3,0,0,0
2016-06-10_10-32-17,1465547537.08484,0,0,0,0,0,0,0,1,-15,-1.280000,5.790000,209.070007,0,0,3,0,0,0
2016-06-10_10-32-17,1465547537.12262,0,0,0,0,0,0,0,0,-15,-1.290000,5.730000,209.110001,0,0,3,0,0,0
2016-06-10_10-32-17,1465547537.19730,0,0,0,0,0,0,0,0,-15,-1.190000,5.710000,209.119995,0,0,3,0,0,0
2016-06-10_10-32-17,1465547537.23498,0,0,0,0,0,0,0,0,-16,-1.060000,5.720000,209.000000,0,0,3,0,0,0
2016-06-10_10-32-17,1465547537.27237,0,0,0,0,0,0,0,1,-15,-1.030000,5.800000,208.960007,0,0,3,0,0,0
2016-06-10_10-32-17,1465547537.34752,0,0,0,0,0,0,0,1,-15,-1.060000,5.870000,209.059998,0,0,3,0,0,0
2016-06-10_10-32-17,1465547537.38480,0,0,0,0,0,0,0,0,-15,-1.080000,5.840000,209.100006,0,0,3,0,0,0
2016-06-10_10-32-17,1465547537.42255,0,0,0,0,0,0,0,0,-16,-1.080000,5.700000,209.000000,0,0,3,0,0,0
2016-06-10_10-32-17,1465547537.49747,0,0,0,0,0,0,0,1,-15,-1.080000,5.650000,208.839996,0,0,3,0,0,0
2016-06-10_10-32-17,1465547537.53518,0,0,0,0,0,0,0,1,-15,-1.120000,5.620000,208.750000,0,0,3,0,0,0
2016-06-10_10-32-17,1465547537.57236,0,0,0,0,0,0,0,0,-15,-1.200000,5.520000,208.789993,0,0,3,0,0,0
2016-06-10_10-32-17,1465547537.64750,0,0,0,0,0,0,0,0,-15,-1.270000,5.480000,208.820007,0,0,3,0,0,0
2016-06-10_10-32-17,1465547537.68487,0,0,0,0,0,0,0,0,-16,-1.330000,5.480000,208.770004,0,0,3,0,0,0
2016-06-10_10-32-17,1465547537.72266,0,0,0,0,0,0,0,1,-15,-1.360000,5.580000,208.660004,0,0,3,0,0,0
2016-06-10_10-32-17,1465547537.79731,0,0,0,1,0,1,0,1,-15,-1.370000,5.670000,208.580002,0,0,3,0,0,0
2016-06-10_10-32-17,1465547537.83498,0,0,0,0,0,0,0,1,-15,-1.400000,5.600000,208.580002,0,0,3,0,0,0
2016-06-10_10-32-17,1465547537.87238,0,0,0,0,0,0,0,1,-16,-1.410000,5.490000,208.589996,0,0,3,0,0,0
2016-06-10_10-32-17,1465547537.94751,0,0,0,0,0,0,0,1,-15,-1.380000,5.380000,208.630005,0,0,3,0,0,0
2016-06-10_10-32-17,1465547537.98480,0,0,0,0,0,0,0,0,-16,-1.340000,5.170000,208.660004,0,0,3,0,0,0
2016-06-10_10-32-18,1465547538.02262,0,0,0,0,0,1,0,0,-15,-1.340000,5.030000,208.639999,0,0,3,0,0,0
2016-06-10_10-32-18,1465547538.09732,0,0,0,0,0,0,0,0,-15,-1.370000,4.960000,208.619995,0,0,3,0,0,0
2016-06-10_10-32-18,1465547538.17189,0,0,0,0,0,0,0,0,-15,-1.390000,4.870000,208.589996,0,0,3,0,0,0
2016-06-10_10-32-18,1465547538.17397,0,0,0,0,0,0,0,0,-15,-1.370000,4.800000,208.470001,0,0,3,0,0,0
2016-06-10_10-32-18,1465547538.24752,0,0,0,0,0,0,0,0,-15,-1.400000,4.780000,208.320007,0,0,3,0,0,0
2016-06-10_10-32-18,1465547538.28481,0,0,0,1,0,0,0,0,-15,-1.480000,4.760000,208.210007,0,0,3,0,0,0
2016-06-10_10-32-18,1465547538.32259,0,0,0,0,0,0,0,0,-16,-1.590000,4.750000,208.169998,0,0,3,0,0,0
2016-06-10_10-32-18,1465547538.39744,0,0,0,0,0,0,0,0,-15,-1.670000,4.800000,208.160004,0,0,3,0,0,0
2016-06-10_10-32-18,1465547538.43506,0,0,0,0,0,0,0,0,-15,-1.670000,4.790000,208.149994,0,0,3,0,0,0
